PROCEDIMENTO;OGGETTO;TIPOINTERVENTO;DATAINIZIOPRESUNTA;DATAFINEPRESUNTA;LISTALOCALIZZAZIONI;LONGITUDINE;LATITUDINE;Location
SCIA;completamento tavolati e impianti;Nuova costruzione - art.10.1 lettera a) del DPR/380/2001  esclusivamente in caso di variante ai sensi dell'art.22.2 D.P.R. 380/2001;2016-12-17T00:00:00.000+01:00;2019-12-17T00:00:00.000+01:00;VIA SOLARI ANDREA N.  23  PIANO 8;9.16424376677;45.4554897864;45.4554897864, 9.16424376677
SI-SCIA a sportello;VIA IMBONATI, 59 - VARIANTE A SCIA ZONALE ATTI P.G. 515410/2012 PER OPERE CONSISTENTI IN: PIANO SEMINTERRATO: MANCATE COSTRUZIONI RISPETTO ALLO STATO AUTORIZZATO E NUOVE COSTRUZIONI A CIUSURA VANO SOTTOSCALA. PIANO RIALZATO: VARIAZIONE POSIZIONE AREA SOPPALCO E DEMOLIZIONE TRAMEZZO ESISTENTE. PIANO PRIMO: REALIZZO NUOVA AREA A SOPPALCO E VARIAZIONE VANO DI ACCESSO A LOCALE SOTTOSTANTE.***UNITA ANTECEDENTE SCIA ZONALE P.G. 515410/2012***;manutenzione straordinaria facente parte di intervento in variante a precedente titolo edilizio;2016-12-17T00:00:00.000+01:00;2019-12-17T00:00:00.000+01:00;VIA IMBONATI CARLO N.  59;9.18089701657;45.5033152961;45.5033152961, 9.18089701657
SI-SCIA a sportello;via calvi  19 scia a variante prog. 16943/2016 riguardante la realizzazione di modifiche interne***UNITO ANTECEDENTE WF. N. 16943/2016***;manutenzione straordinaria facente parte di intervento in variante a precedente titolo edilizio;2016-12-16T00:00:00.000+01:00;2019-12-16T00:00:00.000+01:00;VIA CALVI PIETRO N.  19  PIANO 1 e 2;9.21043237065;45.4643250283;45.4643250283, 9.21043237065
SI-SCIA a sportello; VIA VENINI GIULIO E C. N. 75 scia a variante wf 13923/2016 opere interne***UNITA SCIA ANTECEDENTE WF 13923/2016***;manutenzione straordinaria comportante rinnovi e/o sostituzione di parti strutturali degli edifici - art. 27.1lett.b) L.R.12/2005;2016-12-15T00:00:00.000+01:00;2019-12-15T00:00:00.000+01:00;VIA VENINI GIULIO E C N.  75;9.21665714332;45.4937763921;45.4937763921, 9.21665714332
SI-SCIA;via padova  330  Manutenzione straordinaria con ampliamento foro esistente al solaio;manutenzione straordinaria comportante rinnovi e/o sostituzione di parti strutturali degli edifici - art. 27.1lett.b) L.R.12/2005;2016-12-14T00:00:00.000+01:00;2019-12-14T00:00:00.000+01:00;VIA PADOVA N.  330  PIANO terra;9.25278699829;45.5107718607;45.5107718607, 9.25278699829
SI-SCIA a sportello;via settembrini luigi n. 26 - demolizione di chiusura porta a creazione di nuovo passaggio di ingresso sulla nuova cameretta singola - creazione di cabina armadio , il tutto propedeutico al nuovo utilizzo abitativo dei locali - edificio inferiore ai 5000 mq. di slp - cambio d'uso in residenziale  ;manutenzione straordinaria con variazione della destinazione d'uso;2016-12-14T00:00:00.000+01:00;2019-12-14T00:00:00.000+01:00;VIA SETTEMBRINI LUIGI N.  26;9.20635700971;45.4819584453;45.4819584453, 9.20635700971
SI-SCIA a sportello;via de togni aristide n. 7 - cambio d'uso da ufficio ad abitazione - demolizione e costruzione di tavolati interni ;;2016-12-14T00:00:00.000+01:00;2019-12-14T00:00:00.000+01:00;VIA DE TOGNI ARISTIDE N.  7;9.17378118235;45.4650207407;45.4650207407, 9.17378118235
SCIA;Scia in variante per opere di manutenzione straordinaria interne;Manutenzione straordinaria - art.3.1 lettera b) DPR 380/2001;2016-12-14T00:00:00.000+01:00;2019-12-14T00:00:00.000+01:00;VIA NOVATI FRANCESCO N.  6;9.17690396149;45.4602647139;45.4602647139, 9.17690396149
SI-SCIA a sportello;via dante n. 16 - m.s. con rimozione di paviemnti, rivestimenti e tramezzatura ai piani terra , primo e terzo - realizzazione di nuove partizioni interne al piano terzo per insediamento di un nuovo ufficio  ;;2016-12-14T00:00:00.000+01:00;2019-12-14T00:00:00.000+01:00;VIA DANTE N.  16;9.18326697097;45.4675962735;45.4675962735, 9.18326697097
SI-SCIA;via pitagora  29  Intervento di manutenzione straordinaria riguardante nuova distribuzione  interna piano rialzato, mediante demolizione e costruzione di nuovi tavolati,  opere di finitura (intonaci, tinteggiature, sostituzione serramenti, etc...) e  adeguamento impianti alla nuova distribuzione interna.;manutenzione straordinaria comportante rinnovi e/o sostituzione di parti strutturali degli edifici - art. 27.1lett.b) L.R.12/2005;2016-12-13T00:00:00.000+01:00;2019-12-13T00:00:00.000+01:00;VIA PITAGORA N.  29  PIANO 1;9.22987559733;45.5200102889;45.5200102889, 9.22987559733
SI-SCIA; VIA TREBBIA 18 - SEGNALAZIONE CERTIFICATA DI INIZIO ATTIVITA';manutenzione straordinaria con interventi finalizzati al miglioramento delle situazioni igienico-sanitarie esistenti (artt.46.2 e 46.3 R.E.);2016-12-12T00:00:00.000+01:00;2019-12-12T00:00:00.000+01:00;VIA TREBBIA N.  18;9.20169185772;45.4477093628;45.4477093628, 9.20169185772
SI-SCIA;via Perugino 14/16 - manutenzione straordinaria consistente in modifiche interrne in un ufficio  con opere strutturali tra il piano terra e il seminterrato;manutenzione straordinaria comportante rinnovi e/o sostituzione di parti strutturali degli edifici - art. 27.1lett.b) L.R.12/2005;2016-12-12T00:00:00.000+01:00;2019-12-12T00:00:00.000+01:00;VIA PERUGINO N.  14 / 16  PIANO t-s1;9.21470978464;45.4576900611;45.4576900611, 9.21470978464
SI-SCIA;via tertulliano snc  POSIZIONAMENTO DI CABINA ELETTRICA PREFABBRICATA;manutenzione straordinaria con interventi finalizzati al miglioramento delle situazioni igienico-sanitarie esistenti (artt.46.2 e 46.3 R.E.);2016-12-12T00:00:00.000+01:00;2019-12-12T00:00:00.000+01:00;VIA TERTULLIANO N.  0;9.2282676397;45.4445953784;45.4445953784, 9.2282676397
SI-SCIA;VIA DESENZANO N. 14 - Frazionamento e cambio di destinazione d'uso non oneroso da ufficio a residenza  e diversa distribuzione degli spazi interni.;manutenzione straordinaria con variazione della destinazione d'uso;2016-12-10T00:00:00.000+01:00;2019-12-10T00:00:00.000+01:00;VIA DESENZANO N.  14  PIANO T;9.14090212395;45.4618274325;45.4618274325, 9.14090212395
SI-SCIA a sportello;VIA MAESTRI CAMPIONESI  3 -scia a permesso di costruire wf 16010/2015 modifica in copertura rispetto a quanto approvato con pdc 51/2016;manutenzione straordinaria comportante rinnovi e/o sostituzione di parti strutturali degli edifici+opere di eliminazione barriere architettoniche con realizzazione di manufatti che alterano la sagoma dell'edificio;2016-12-10T00:00:00.000+01:00;2019-12-10T00:00:00.000+01:00;VIA MAESTRI CAMPIONES N.  3;9.21345987936;45.4575629385;45.4575629385, 9.21345987936
SI-SCIA a sportello;sostituzione ascensore inteno al vano scala con adeguamento al dm.236/1989 ed aumento di una fermata  piano 5 - ;opere di eliminazione barriere architettoniche con realizzazione di manufatti che alterano la sagoma dell'edificio;2016-12-09T00:00:00.000+01:00;2019-12-09T00:00:00.000+01:00;VIA SANZIO RAFFAELLO N.  21;9.15255869694;45.468282799;45.468282799, 9.15255869694
SI-SCIA;via orobia  3   Demolizione di superfetazione e diversa distribuzione interna ****UNITA A VAR. SCIA WF 25575/2016****;manutenzione straordinaria comportante rinnovi e/o sostituzione di parti strutturali degli edifici - art. 27.1lett.b) L.R.12/2005;2016-12-08T00:00:00.000+01:00;2019-12-08T00:00:00.000+01:00;VIA OROBIA N.  3;9.20562348765;45.4433390067;45.4433390067, 9.20562348765
SI-SCIA a sportello; rimozione di tutte le attrezzature ed impianti tecnologici in superficie ed in sottosuolo di un impianto di distribuzione carburanti sito nel comune di Milano - via Mecenate 69 angolo via Zante , di proprieta' della societa' TAMOIL SPA - ;;2016-12-05T00:00:00.000+01:00;2019-12-05T00:00:00.000+01:00;VIA MECENATE N.  69;9.24669800947;45.4541712811;45.4541712811, 9.24669800947
SI-SCIA a sportello;viale fulvio testi  84   opere di m.s . e unione di 2 unita' tramite scala interna ***UNITA A VARIANTE N. PROG. 2342116****;;2016-12-05T00:00:00.000+01:00;2019-12-05T00:00:00.000+01:00;VIALE TESTI FULVIO N.  84;9.20337895216;45.5104301203;45.5104301203, 9.20337895216
SI-SCIA;via marcello benedetto 30  fusione e frazionamento con cambio parziale di destinazione d'uso****unita a CILA wf 20579/15***;manutenzione straordinaria con variazione della destinazione d'uso;2016-12-04T00:00:00.000+01:00;2019-12-04T00:00:00.000+01:00;VIA MARCELLO BENEDETT N.  30;9.20930349436;45.4816681786;45.4816681786, 9.20930349436
SI-SCIA;VIALE BRENTA N. 32 - risanamento conservativo con mutamento d'uso da produttivo a terziario - UNITA ALLA S.C.I.A. IN VAR. PROGR. 18360/18;restauro o risanamento conservativo di cui all'art. 27.1 lett.c) L.R. 12/2005 con variazione della destinazione d'uso;2016-12-04T00:00:00.000+01:00;2019-12-04T00:00:00.000+01:00;VLE BRENTA N.  32  PIANO tutti;9.21738187088;45.4417319456;45.4417319456, 9.21738187088
SI-SCIA a sportello;VIA RIPAMONTI GIUSEPPE N. 296 - modifiche distributive ai tavolati , finalizzati a diversa distribuzione interna coi locali - modifiche esterne con formazione di nuovi vani - l'intervento risulta meglio specificato in relazione tecnica - ;restauro o risanamento conservativo di cui all'art. 27.1 lett.c) L.R. 12/2005;2016-12-04T00:00:00.000+01:00;2019-12-04T00:00:00.000+01:00;VIA RIPAMONTI GIUSEPP N.  296;9.20349884508;45.4243468533;45.4243468533, 9.20349884508
super DIA;Recupero sottotetto, rifacimento copertura, installazione di nuovo ascensore  all'interno del vano scala, rifacimento facciata e opere interne di  manutenzione straordinaria. UNITO A VARIANTE W.F. 25573/16;Manutenzione straordinaria - art.3.1 lettera b) DPR 380/2001+Recupero abitativo di sottotetto - artt. 63  64  65  L.R. 12/05;2016-12-02T00:00:00.000+01:00;2019-12-02T00:00:00.000+01:00;VIA CARETTO AMINTO N.  4;9.20006103229;45.482780592;45.482780592, 9.20006103229
comunicazione inizio attività edilizia libera;AGGIORNA LA CIAEL CON P.G. 430186/'15 - RIPRISTINO TAVOLATI ESISTENTI;a) manutenzione straordinaria non riguardante parti strutturali dell'edificio senza incremento delle unita' immobiliari e senza incremento parametri standard;2016-12-01T00:00:00.000+01:00;2019-12-01T00:00:00.000+01:00;VIA MARONCELLI PIETRO N.  17;9.18272132221;45.4836018353;45.4836018353, 9.18272132221
SI-SCIA a sportello;VIA VINCENZO DA SEREGNO 54 - rimozione completa del traliccio di radiocomunicazioni presente sulla copertura del fabbricato - ;;2016-12-01T00:00:00.000+01:00;2019-12-01T00:00:00.000+01:00;VIA VINCENZO DA SEREG N.  54;9.17847091808;45.5241425313;45.5241425313, 9.17847091808
comunicazione inizio attività edilizia libera;RIPRISTINO FACCIATE INTERNE E DEI RELATIVI BALCONI CON ADEGUAM. DELL'ALTEZZA DEI PARAPETTI.;a) manutenzione straordinaria non riguardante parti strutturali dell'edificio senza incremento delle unita' immobiliari e senza incremento parametri standard;2016-12-01T00:00:00.000+01:00;2019-12-01T00:00:00.000+01:00;VIA LECCO N.  12;9.20509257846;45.4776843348;45.4776843348, 9.20509257846
comunicazione inizio attività edilizia libera;Demoliz./ricostruz. di pareti interne con adeguam. degli imp. 'elettrici-idraulici'.;a) manutenzione straordinaria non riguardante parti strutturali dell'edificio senza incremento delle unita' immobiliari e senza incremento parametri standard;2016-12-01T00:00:00.000+01:00;2019-12-01T00:00:00.000+01:00;VIA MERCANTINI LUIGI N.  2;9.16480660116;45.5021790037;45.5021790037, 9.16480660116
SI-SCIA;via socrate 41  SCIA per opere strutturali per l'apertura di un passaggio in una  parete in c.a.al piano rialzato.oltre ad opere di manutenzione straordinaria  consistenti nella diversa suddivisione degli ambienti ufficio e servizi;manutenzione straordinaria comportante rinnovi e/o sostituzione di parti strutturali degli edifici - art. 27.1lett.b) L.R.12/2005;2016-12-01T00:00:00.000+01:00;2019-12-01T00:00:00.000+01:00;VIA SOCRATE N.  41  PIANO r;9.22855551684;45.518740481;45.518740481, 9.22855551684
SI-SCIA a sportello;VIA PULCI, 13 - variante alla scia n. 9718/2016*******UNITO ANTECEDENTE N. PROG. 971816******UNITA A VARIANTE N. PROG. 611417*****;manutenzione straordinaria facente parte di intervento in variante a precedente titolo edilizio;2016-11-30T00:00:00.000+01:00;2019-11-30T00:00:00.000+01:00;VIA PULCI LUIGI N.  13;9.20713902028;45.5144226998;45.5144226998, 9.20713902028
SI-SCIA;Via Filippino LIPPI n°24 - Opere interne con contestuale cambio di destinazione d'uso da ufficio ad abitazione;manutenzione straordinaria con variazione della destinazione d'uso;2016-11-30T00:00:00.000+01:00;2019-11-30T00:00:00.000+01:00;VIA LIPPI FILIPPINO N.  24  PIANO R;9.2213364213;45.4819684999;45.4819684999, 9.2213364213
SI-SCIA;Via della Chiesa rossa,247-cambio d'uso e relativo frazionamento in due unità immobiliari ad uso  residenziale.;manutenzione straordinaria con variazione della destinazione d'uso;2016-11-30T00:00:00.000+01:00;2019-11-30T00:00:00.000+01:00;VIA DELLA CHIESA ROSS N.  247;9.16348904776;45.4150956012;45.4150956012, 9.16348904776
super DIA; DIA variante DIA rif. w.f.  22378/2015 per lievi modifiche interne ed  esterne di diversa realizzazione lucernari in copertura.;Recupero abitativo di sottotetto - artt. 63  64  65  L.R. 12/05;2016-11-30T00:00:00.000+01:00;2019-11-30T00:00:00.000+01:00;VIA COL MOSCHIN N.  15  PIANO 6;9.18551723419;45.4504113137;45.4504113137, 9.18551723419
SI-SCIA;via crespi benigni n. 57 - OPERE DI ABBATTIMENTO BARRIERE ARCHITETTONICHE E RIQUALIFICAZIONE FUNZIONALE  DELLE PARTI COMUNI. IMMOBILE DIREZIONALE SITO IN VIA BENIGNO CRESPI, 57;manutenzione straordinaria comportante rinnovi e/o sostituzione di parti strutturali degli edifici - art. 27.1lett.b) L.R.12/2005;2016-11-29T00:00:00.000+01:00;2019-11-29T00:00:00.000+01:00;VIA CRESPI BENIGNO N.  57;9.18475539359;45.5037631279;45.5037631279, 9.18475539359
SI-SCIA a sportello;via barzini luigi n. 18 - cambio di destinazione d'uso CON OPERE DI MANUTENZIONE ORDINARIA da ufficio a residenza AL PIANO RIALZATO. UNICA OPERA EDILIZIA PREVISTA E' LA RIAPERTURA ;manutenzione straordinaria con variazione della destinazione d'uso;2016-11-28T00:00:00.000+01:00;2019-11-28T00:00:00.000+01:00;VIA BARZINI LUIGI N.  18;9.20519665688;45.5019388394;45.5019388394, 9.20519665688
SI-SCIA;cambio di destinazione d'uso con lievi opere interne;manutenzione straordinaria con variazione della destinazione d'uso;2016-11-28T00:00:00.000+01:00;2019-11-28T00:00:00.000+01:00;VIA CERADINI GIULIO N.  5;9.21950010918;45.4689578611;45.4689578611, 9.21950010918
SI-SCIA;via tonale  10/0  Opere di modifica distributiva interna a singola unità immobiliare con opere di  consolidamento della soletta;manutenzione straordinaria comportante rinnovi e/o sostituzione di parti strutturali degli edifici - art. 27.1lett.b) L.R.12/2005;2016-11-28T00:00:00.000+01:00;2019-11-28T00:00:00.000+01:00;VIA TONALE N.  10 / 0  PIANO 4;9.20342680375;45.4886915217;45.4886915217, 9.20342680375
SI-SCIA a sportello;corso di porta vittoria n. 47 - rifacimento solaio in legno tra il piano 5 ed il piano 6 perche' molto fatiscente ed ammalorato in molti punti mantenendo lo stesso dimensionamento e le stesse altezze attuali sia al piano 5 che al piano 6 - ;manutenzione straordinaria comportante rinnovi e/o sostituzione di parti strutturali degli edifici - art. 27.1lett.b) L.R.12/2005;2016-11-28T00:00:00.000+01:00;2019-11-28T00:00:00.000+01:00;CORSO DI PORTA VITTOR N.  47;9.20470906668;45.4624342116;45.4624342116, 9.20470906668
SI-SCIA;VIA PIOPPETTE N.  8       Manutenzione straordinaria consistente nel frazionamento in due unità a  destinazione residenziale e diversa disposizione interna I lavori prevedono il consolidamento statico delle solette;manutenzione straordinaria comportante rinnovi e/o sostituzione di parti strutturali degli edifici - art. 27.1lett.b) L.R.12/2005;2016-11-28T00:00:00.000+01:00;2019-11-28T00:00:00.000+01:00;VIA PIOPPETTE N.  8;9.18164933232;45.4574544378;45.4574544378, 9.18164933232
SI-SCIA;via sarzana  24  modifica e rimozione collegamento tramite ascensore interno tra 2 appartamenti  posti al  piano terzo e il piano quarto e ripristino solaio originario;manutenzione straordinaria comportante rinnovi e/o sostituzione di parti strutturali degli edifici - art. 27.1lett.b) L.R.12/2005;2016-11-28T00:00:00.000+01:00;2019-11-28T00:00:00.000+01:00;VIA SARZANA N.  24;9.19380518567;45.5019109806;45.5019109806, 9.19380518567
comunicazione inizio attività edilizia libera;via zuretti 33 - piano terra - cila a sanatoria x frazionamento di u.i. in due u.i.;a) manutenzione straordinaria non riguardante parti strutturali dell'edificio senza incremento delle unita' immobiliari e senza incremento parametri standard;2016-11-27T00:00:00.000+01:00;2019-11-27T00:00:00.000+01:00;VIA ZURETTI GIANFRANC N.  33;9.20802206708;45.4938006347;45.4938006347, 9.20802206708
comunicazione inizio attività edilizia libera;V.LE UMBRIA, 17 - P. T. - REALIZZAZIONE E SPOSTAMENTO BAGNI - APERTURA DI UNA PORTA PER COLLEGAMENTO U.I. CONFINANTI;a) manutenzione straordinaria non riguardante parti strutturali dell'edificio senza incremento delle unita' immobiliari e senza incremento parametri standard;2016-11-26T00:00:00.000+01:00;2019-11-26T00:00:00.000+01:00;VIALE UMBRIA N.  17;9.2115314103;45.4494875547;45.4494875547, 9.2115314103
comunicazione inizio attività edilizia libera;CILA A INTEGRAZIONE/SOSTITUZIONE DI WF. 13514/16- via BIROLLI 3-   MODIFICHE DI UN TAVOLATO E DEI CONTROSOFFITTI - SOSTITUZIONE IMPIANTI;;2016-11-25T00:00:00.000+01:00;2019-11-25T00:00:00.000+01:00;VIA BIROLLI RENATO N.  3;9.20414061221;45.5000943773;45.5000943773, 9.20414061221
SI-SCIA a sportello;via caroli luigi n. 8 - frazionamento di 2 unita' immobilairi con cambio d'uso da commerciale  a residenziale con : demolizione di di alcuni tavolati e costruzione di nuovi per  frazionamento in 2 unita' con formazione di bagno , zona giorno e disimpegno per ogni unita'- taglio della saracinesca esistente per formazione di nuove finestre su strada mediante demolizione di muratura che impedisce l'utilizzo delle porte di ingresso - rifacimento di finiture, pavimenti rivestimenti ed impianti - ;manutenzione straordinaria con variazione della destinazione d'uso;2016-11-25T00:00:00.000+01:00;2019-11-25T00:00:00.000+01:00;VIA CAROLI LUIGI N.  8;9.23790697933;45.5082651744;45.5082651744, 9.23790697933
SI-SCIA;via cadamosto  7  OPERE DI STRAORDINARIA MANUTENZIONE PER CAMBIO USO DA TERZIARIO A RESIDENZIALE  E DIVERSA DISTRIBUZIONE DEGLI SPAZI INTERNI.;manutenzione straordinaria con variazione della destinazione d'uso;2016-11-25T00:00:00.000+01:00;2019-11-25T00:00:00.000+01:00;VIA CADAMOSTO ALVISE N.  7  PIANO 2;9.20953505021;45.4767503522;45.4767503522, 9.20953505021
comunicazione inizio attività edilizia libera;VIA RESTELLI 1 - CILA PER AGGIORNAMENTO E SOSTITUZIONE DELLA CILA PROG. 13579/2016 MEDIANTE DIVERSA DISTRIBUZIONE DEGLI SPAZI INTERNI E SOSTITUZIONE DELLE VETRINE ESTERNE DELL'U.I. AL PIANO T *****unita a cila antecedente wf 13579/16*** ;a) manutenzione straordinaria non riguardante parti strutturali dell'edificio senza incremento delle unita' immobiliari e senza incremento parametri standard;2016-11-24T00:00:00.000+01:00;2019-11-24T00:00:00.000+01:00;VIALE RESTELLI FRANCE N.  1;9.19439500763;45.4867941155;45.4867941155, 9.19439500763
SI-SCIA a sportello;VIALE MONZA N. 196 - scia a variante prog. 13215/2016 riguardante cambio d'uso parziale da abitazione ad ufficio***UNITO ANTECEDENTE WF  13215/2016***;manutenzione straordinaria facente parte di intervento in variante a precedente titolo edilizio;2016-11-24T00:00:00.000+01:00;2019-11-24T00:00:00.000+01:00;VIALE MONZA N.  196  PIANO T;9.22421925998;45.5100539869;45.5100539869, 9.22421925998
SI-SCIA;VIA S. FRANCESCO D'AS N.  8  PIANO Rialz      - Frazionamento e cambio d'uso di un ufficio in quattro  abitazioni distinte e autonome, mediante la formazione di un corridoio comune  alle stesse. Demolizione e costruzione di tavolati interni e chiusura, sono  dall'interno e senza modifiche in facciata, di una porzione di finestra.;manutenzione straordinaria con variazione della destinazione d'uso;2016-11-24T00:00:00.000+01:00;2019-11-24T00:00:00.000+01:00;VIA S. FRANCESCO D'AS N.  8  PIANO Rialz;9.18980684312;45.454348816;45.454348816, 9.18980684312
SI-SCIA;via lancetti vincenzo n. 31 - Segnalazione certificata di inizio attività ai sensi degli artt. 22 e 23bis  D.P.R. 380/01 e dell'art. 19 della Legge 241/1990 Modifiche interne a singola unità immobiliare con modifiche a parti strutturali Zona di decentramento 9;manutenzione straordinaria comportante rinnovi e/o sostituzione di parti strutturali degli edifici - art. 27.1lett.b) L.R.12/2005;2016-11-24T00:00:00.000+01:00;2019-11-24T00:00:00.000+01:00;VIALE LANCETTI VINCEN N.  31 INTERNO 8  PIANO 3;9.1777130528;45.4952392698;45.4952392698, 9.1777130528
SCIA;SCIA in variante ad una DIA W.F. 15229/13 - Via Conconi 7;Manutenzione straordinaria - art.3.1 lettera b) DPR 380/2001;2016-11-24T00:00:00.000+01:00;2019-11-24T00:00:00.000+01:00;VIA CONCONI LUIGI N.  7;9.14661591904;45.4681633469;45.4681633469, 9.14661591904
SI-SCIA;VIA DELLA MOSCOVA N.  27 PIANO rialzato e interrato     Manutenzione straordinaria  con variazione della destinazione d'uso;manutenzione straordinaria con variazione della destinazione d'uso;2016-11-23T00:00:00.000+01:00;2019-11-23T00:00:00.000+01:00;VIA DELLA MOSCOVA N.  27 PIANO rialzato e interrato;9.18923407216;45.4767440498;45.4767440498, 9.18923407216
SI-SCIA;manutenzione straordinaria con cambio d'uso da commerciale a residenziale;manutenzione straordinaria con variazione della destinazione d'uso;2016-11-23T00:00:00.000+01:00;2019-11-23T00:00:00.000+01:00;VIA BROGGINI BONAVENT N.  3;9.09258899794;45.4638750083;45.4638750083, 9.09258899794
SI-SCIA;via carlo goldoni n. 32 - Cambio di destinazione d'uso per l'unità immobiliare sub. 744, fusione e  frazionamento per spostamento parete confinante tra le due unità con modifiche  interne.;manutenzione straordinaria con variazione della destinazione d'uso;2016-11-23T00:00:00.000+01:00;2019-11-23T00:00:00.000+01:00;VIA GOLDONI CARLO N.  32  PIANO 2;9.21237919084;45.4691621235;45.4691621235, 9.21237919084
SI-SCIA a sportello;viale ranzoni 10 scia a variante wf 5039/2016 ridistribuzione degli spazi interni;manutenzione straordinaria comportante rinnovi e/o sostituzione di parti strutturali degli edifici - art. 27.1lett.b) L.R.12/2005+manutenzione straordinaria con variazione della destinazione d'uso;2016-11-23T00:00:00.000+01:00;2019-11-23T00:00:00.000+01:00;VIALE RANZONI DANIELE N.  10;9.14585757761;45.4685067445;45.4685067445, 9.14585757761
SI-SCIA a sportello;FORO BUONAPARTE N.  69       - DEMOLIZIONI DI TAVOLATI INTERNI PER FRAZIONAMENTO E FUSIONE DI UNITA' IMM.RI, CAMBIO DESTINAZIONE D'USO DA ABITAZIONE AD UFFICIO ;;2016-11-22T00:00:00.000+01:00;2019-11-22T00:00:00.000+01:00;VIA FORO BUONAPARTE N.  69;9.18120759812;45.4679489544;45.4679489544, 9.18120759812
SI-SCIA;Via luigi zoja 30, Frazionamento di unità immobiliare con cambio di destinazione d'uso da ufficio  in abitazione, attraverso demolizione e costruzione di tavolati interni.;manutenzione straordinaria con variazione della destinazione d'uso;2016-11-22T00:00:00.000+01:00;2019-11-22T00:00:00.000+01:00;VIA ZOJA LUIGI N.  30;9.10668911679;45.4768750169;45.4768750169, 9.10668911679
super DIA;Recupero di sottotetto;Recupero abitativo di sottotetto - artt. 63  64  65  L.R. 12/05;2016-11-21T00:00:00.000+01:00;2019-11-21T00:00:00.000+01:00;VIA BITINIA N.  11;9.15959930523;45.4407234357;45.4407234357, 9.15959930523
comunicazione inizio attività edilizia libera;via demostene 7-CILA- realizzazione pensiline esterne;;2016-11-18T00:00:00.000+01:00;2019-11-18T00:00:00.000+01:00;VIA DEMOSTENE N.  7;9.22599197593;45.5058358845;45.5058358845, 9.22599197593
SI-SCIA;VIA S. GIOVANNI SUL M N.  8 / 10  PIANO 1 - 2      Manutenzione straordinaria  in due unita residenziali poste al primo e secondo piano Fusione e frazionamento Chiusura porzione di solaio, e formazione di balcone su cortile interno al primo piano ;manutenzione straordinaria comportante rinnovi e/o sostituzione di parti strutturali degli edifici - art. 27.1lett.b) L.R.12/2005;2016-11-17T00:00:00.000+01:00;2019-11-17T00:00:00.000+01:00;VIA S. GIOVANNI SUL M N.  8 / 10  PIANO 1 - 2;9.18087390176;45.4664069398;45.4664069398, 9.18087390176
comunicazione inizio attività edilizia libera;VIA VITRUVIO, 44 - FRAZIONAMENTO DI U.I. MEDIANTE DEMOLIZIONE E RICOSTRUZIONE DI TAVOLATI INTERNI PER LA CREAZIONE DI DUE NUOVE UU.II.;a) manutenzione straordinaria non riguardante parti strutturali dell'edificio senza incremento delle unita' immobiliari e senza incremento parametri standard;2016-11-17T00:00:00.000+01:00;2019-11-17T00:00:00.000+01:00;VIA VITRUVIO N.  44;9.20521723448;45.4832966215;45.4832966215, 9.20521723448
SI-SCIA;VIA PAGANO MARIO N. 4 - diversa distribuzione tavolati interni u.i. al quinto piano+++unita a variante SCIA WF 32747/2017+++;manutenzione straordinaria comportante rinnovi e/o sostituzione di parti strutturali degli edifici - art. 27.1lett.b) L.R.12/2005;2016-11-16T00:00:00.000+01:00;2019-11-16T00:00:00.000+01:00;VIA PAGANO MARIO N.  4;9.17112665334;45.4749979961;45.4749979961, 9.17112665334
SI-SCIA a sportello; VIA DUGNANI ANTONIO N.  1     m.s. piano 6 e 7 - rifacimento servizi igienico/sanitari, impianto di condizionamento - collegamento tramite scala interna delle 2 unita'  ;manutenzione straordinaria comportante rinnovi e/o sostituzione di parti strutturali degli edifici - art. 27.1lett.b) L.R.12/2005+manutenzione straordinaria con interventi finalizzati al miglioramento delle situazioni igienico-sanitarie esistenti (artt.46.2 e 46.3 R.E.);2016-11-16T00:00:00.000+01:00;2019-11-16T00:00:00.000+01:00;VIA DUGNANI ANTONIO N.  1;9.16637649108;45.4597960971;45.4597960971, 9.16637649108
comunicazione inizio attività edilizia libera;VIA LOMBROSO, 54 - RIMOZONE DI CANCELLO IN FERR. INSTALLAZIONE DI PORTONE AVVOLGIBILE. MODIFICA DELLA VETRATA SOVRASTANTE.;a1) manutenzione straordinaria esclusivamente esterna e non interessante gli elementi strutturali dell'edificio;2016-11-16T00:00:00.000+01:00;2019-11-16T00:00:00.000+01:00;VIA LOMBROSO CESARE N.  54;9.23094939166;45.4560329493;45.4560329493, 9.23094939166
SI-SCIA;VIA A DORIA N. 7 - SOSTITUZIONE E AGGIORNAMENTO DELLA CILA DEL 25/02/15 PG 115195/2015  PROG.3071/2015 PER MODIFICHE INTERNE A SINGOLA UNITA' IMMOBILIARE CON IDENTICO  CAMBIO DI DESTINAZIONE D'USO NON ONEROSO DA ABITAZIONE A UFFICIO;manutenzione straordinaria con variazione della destinazione d'uso+manutenzione straordinaria facente parte di intervento in variante a precedente titolo edilizio;2016-11-16T00:00:00.000+01:00;2019-11-16T00:00:00.000+01:00;VIALE DORIA ANDREA N.  7  PIANO 1;9.20789171526;45.4852823742;45.4852823742, 9.20789171526
